INFO 2022-03-31 20:08:56,963 - Current-Thoughput(1): 17.456410000291335
INFO 2022-03-31 20:08:57,019 - Current-Thoughput(2): 17.628014491413584
INFO 2022-03-31 20:08:57,075 - Current-Thoughput(3): 17.668038501232125
INFO 2022-03-31 20:08:57,176 - Current-Thoughput(4): 14.809859459535804
INFO 2022-03-31 20:08:57,181 - Current-Thoughput(5): 18.17457944540785
INFO 2022-03-31 20:08:57,185 - Current-Thoughput(6): 21.492461444649223
INFO 2022-03-31 20:08:57,190 - Current-Thoughput(7): 24.628211258130378
INFO 2022-03-31 20:08:57,193 - Current-Thoughput(8): 27.866838191876248
INFO 2022-03-31 20:08:57,258 - Current-Thoughput(9): 25.561827836848455
INFO 2022-03-31 20:08:57,290 - Current-Thoughput(10): 26.08467763752389
INFO 2022-03-31 20:08:57,292 - Current-Thoughput(11): 28.515503957418353
INFO 2022-03-31 20:08:57,294 - Current-Thoughput(12): 30.954901298734846
INFO 2022-03-31 20:08:57,364 - Current-Thoughput(13): 28.431911388887006
INFO 2022-03-31 20:08:57,378 - Current-Thoughput(14): 29.703770925841056
INFO 2022-03-31 20:08:57,440 - Current-Thoughput(15): 28.13430866881732
INFO 2022-03-31 20:08:57,454 - Current-Thoughput(16): 29.291149174391133
INFO 2022-03-31 20:08:57,559 - Current-Blocktime(1): 0.27231764793395996
INFO 2022-03-31 20:08:57,562 - Current-Thoughput(17): 25.983547642526
INFO 2022-03-31 20:08:57,629 - Current-Thoughput(18): 24.952876154894135
INFO 2022-03-31 20:08:57,645 - Current-Thoughput(19): 25.774112035488503
INFO 2022-03-31 20:08:57,738 - Current-Blocktime(2): 0.45056700706481934
INFO 2022-03-31 20:08:58,087 - Current-Blocktime(3): 0.8001136779785156
INFO 2022-03-31 20:08:58,090 - Current-Thoughput(20): 16.922994055391957
INFO 2022-03-31 20:08:58,232 - Current-Thoughput(21): 15.863019604827395
INFO 2022-03-31 20:08:58,319 - Current-Thoughput(22): 15.59615860793398
INFO 2022-03-31 20:08:58,389 - Current-Thoughput(23): 15.538858182396885
INFO 2022-03-31 20:08:58,476 - Current-Thoughput(24): 15.313978149466896
INFO 2022-03-31 20:08:58,541 - Current-Thoughput(25): 15.311317784723142
INFO 2022-03-31 20:08:58,659 - Current-Blocktime(4): 1.3719420433044434
INFO 2022-03-31 20:09:06,858 - Current-Thoughput(26): 2.6131708219470884
INFO 2022-03-31 20:09:06,869 - Current-Thoughput(27): 2.7108817142978747
INFO 2022-03-31 20:09:06,878 - Current-Thoughput(28): 2.8087856250116294
INFO 2022-03-31 20:09:06,883 - Current-Thoughput(29): 2.907633197100944
INFO 2022-03-31 20:09:06,886 - Current-Thoughput(30): 3.006928122683717
INFO 2022-03-31 20:09:06,888 - Current-Thoughput(31): 3.106691865522444
INFO 2022-03-31 20:09:06,898 - Current-Thoughput(32): 3.2037529466993853
INFO 2022-03-31 20:09:06,903 - Current-Thoughput(33): 3.302247396753796
INFO 2022-03-31 20:09:06,906 - Current-Thoughput(34): 3.40132896850433
INFO 2022-03-31 20:09:06,911 - Current-Thoughput(35): 3.499700369262075
INFO 2022-03-31 20:09:06,946 - Current-Blocktime(5): 1.9315785408020019
INFO 2022-03-31 20:09:07,711 - Current-Thoughput(36): 3.3328891686745603
INFO 2022-03-31 20:09:07,967 - Current-Thoughput(37): 3.3461254885288185
INFO 2022-03-31 20:09:07,969 - Current-Thoughput(38): 3.436131303340314
INFO 2022-03-31 20:09:07,972 - Current-Thoughput(39): 3.525671288378388
INFO 2022-03-31 20:09:07,973 - Current-Thoughput(40): 3.6156151271320502
INFO 2022-03-31 20:09:07,976 - Current-Thoughput(41): 3.705068979861953
INFO 2022-03-31 20:09:07,978 - Current-Thoughput(42): 3.794960979026728
INFO 2022-03-31 20:09:07,980 - Current-Thoughput(43): 3.884365926055469
INFO 2022-03-31 20:09:07,982 - Current-Thoughput(44): 3.974208623206946
INFO 2022-03-31 20:09:07,983 - Current-Thoughput(45): 4.0640340088891955
INFO 2022-03-31 20:09:07,986 - Current-Thoughput(46): 4.153255748252984
