INFO 2022-03-31 20:08:56,960 - Current-Thoughput(1): 17.504711823379658
INFO 2022-03-31 20:08:57,016 - Current-Thoughput(2): 17.66829899132867
INFO 2022-03-31 20:08:57,072 - Current-Thoughput(3): 17.711360376553785
INFO 2022-03-31 20:08:57,143 - Current-Thoughput(4): 16.668967723602922
INFO 2022-03-31 20:08:57,148 - Current-Thoughput(5): 20.38746004464112
INFO 2022-03-31 20:08:57,160 - Current-Thoughput(6): 23.366010322860987
INFO 2022-03-31 20:08:57,219 - Current-Thoughput(7): 22.183466136361233
INFO 2022-03-31 20:08:57,222 - Current-Thoughput(8): 25.11487846902558
INFO 2022-03-31 20:08:57,224 - Current-Thoughput(9): 28.1009703534141
INFO 2022-03-31 20:08:57,334 - Current-Thoughput(10): 23.260221083634786
INFO 2022-03-31 20:08:57,342 - Current-Thoughput(11): 25.11510062949229
INFO 2022-03-31 20:08:57,347 - Current-Thoughput(12): 27.11774578255545
INFO 2022-03-31 20:08:57,421 - Current-Thoughput(13): 25.135309733982943
INFO 2022-03-31 20:08:57,425 - Current-Thoughput(14): 26.878318464573596
INFO 2022-03-31 20:08:57,429 - Current-Thoughput(15): 28.585742150849626
INFO 2022-03-31 20:08:57,492 - Current-Thoughput(16): 27.25378040415551
INFO 2022-03-31 20:08:57,517 - Current-Blocktime(1): 0.25609898567199707
INFO 2022-03-31 20:08:57,518 - Current-Thoughput(17): 27.70383776296593
INFO 2022-03-31 20:08:57,520 - Current-Thoughput(18): 29.257959206451073
INFO 2022-03-31 20:08:57,594 - Current-Thoughput(19): 27.58450608427469
INFO 2022-03-31 20:08:57,601 - Current-Thoughput(20): 28.72563052777637
INFO 2022-03-31 20:08:57,700 - Current-Blocktime(2): 0.4396817684173584
INFO 2022-03-31 20:08:57,703 - Current-Thoughput(21): 26.30844486048192
INFO 2022-03-31 20:08:57,706 - Current-Thoughput(22): 27.48226133537288
INFO 2022-03-31 20:08:57,773 - Current-Thoughput(23): 26.501880590019837
INFO 2022-03-31 20:08:57,776 - Current-Thoughput(24): 27.557067899147608
INFO 2022-03-31 20:08:57,840 - Current-Thoughput(25): 26.764791165527917
INFO 2022-03-31 20:08:57,846 - Current-Thoughput(26): 27.640566873922943
INFO 2022-03-31 20:08:57,911 - Current-Thoughput(27): 26.84893607083899
INFO 2022-03-31 20:08:57,923 - Current-Thoughput(28): 27.546584815386616
INFO 2022-03-31 20:08:57,986 - Current-Thoughput(29): 26.857646420045967
INFO 2022-03-31 20:08:57,999 - Current-Thoughput(30): 27.473834935748375
INFO 2022-03-31 20:08:58,088 - Current-Blocktime(3): 0.27582629521687824
INFO 2022-03-31 20:09:06,859 - Current-Thoughput(31): 3.114936127882752
INFO 2022-03-31 20:09:06,864 - Current-Thoughput(32): 3.2139846474200118
INFO 2022-03-31 20:09:06,879 - Current-Thoughput(33): 3.3092680403924173
INFO 2022-03-31 20:09:06,881 - Current-Thoughput(34): 3.4088022646444935
INFO 2022-03-31 20:09:06,883 - Current-Thoughput(35): 3.508438546596951
INFO 2022-03-31 20:09:06,885 - Current-Thoughput(36): 3.6081243151801643
INFO 2022-03-31 20:09:06,889 - Current-Thoughput(37): 3.706966541544693
INFO 2022-03-31 20:09:06,897 - Current-Thoughput(38): 3.8040367572791514
INFO 2022-03-31 20:09:06,906 - Current-Thoughput(39): 3.9005325877697503
INFO 2022-03-31 20:09:06,909 - Current-Thoughput(40): 3.999691700857428
INFO 2022-03-31 20:09:06,956 - Current-Blocktime(5): 9.694114446640015
INFO 2022-03-31 20:09:07,024 - Current-Thoughput(41): 4.053249914381968
INFO 2022-03-31 20:09:07,092 - Current-Thoughput(42): 4.124185289079289
INFO 2022-03-31 20:09:07,100 - Current-Thoughput(43): 4.219054543834896
INFO 2022-03-31 20:09:07,108 - Current-Thoughput(44): 4.314107853622048
INFO 2022-03-31 20:09:07,111 - Current-Thoughput(45): 4.410905328963365
INFO 2022-03-31 20:09:07,116 - Current-Thoughput(46): 4.506538543289523
INFO 2022-03-31 20:09:07,150 - Current-Blocktime(6): 9.888559103012085
INFO 2022-03-31 20:09:07,152 - Current-Thoughput(47): 4.588279552461153
INFO 2022-03-31 20:09:07,160 - Current-Thoughput(48): 4.682610745862996
INFO 2022-03-31 20:09:07,166 - Current-Thoughput(49): 4.77733525994174
INFO 2022-03-31 20:09:07,172 - Current-Thoughput(50): 4.871846390503408
INFO 2022-03-31 20:09:07,185 - Current-Thoughput(51): 4.96336160065314
INFO 2022-03-31 20:09:07,189 - Current-Thoughput(52): 5.058524037055674
INFO 2022-03-31 20:09:07,225 - Current-Thoughput(53): 5.137639810626329
INFO 2022-03-31 20:09:07,230 - Current-Thoughput(54): 5.232427499344019
INFO 2022-03-31 20:09:07,257 - Current-Blocktime(7): 9.995238780975342
INFO 2022-03-31 20:09:07,272 - Current-Thoughput(55): 5.307803484001642
INFO 2022-03-31 20:09:07,275 - Current-Thoughput(56): 5.402564366783943
INFO 2022-03-31 20:09:07,281 - Current-Thoughput(57): 5.495912409977331
INFO 2022-03-31 20:09:07,305 - Current-Thoughput(58): 5.579575772242139
INFO 2022-03-31 20:09:07,321 - Current-Thoughput(59): 5.667097421204816
INFO 2022-03-31 20:09:07,336 - Current-Thoughput(60): 5.755285278309073
INFO 2022-03-31 20:09:07,361 - Current-Thoughput(61): 5.837269140696591
INFO 2022-03-31 20:09:07,378 - Current-Thoughput(62): 5.923444750036599
INFO 2022-03-31 20:09:07,400 - Current-Thoughput(63): 6.006306867480954
INFO 2022-03-31 20:09:07,427 - Current-Thoughput(64): 6.086459341869924
INFO 2022-03-31 20:09:07,465 - Current-Blocktime(8): 1.275351494550705
INFO 2022-03-31 20:09:07,470 - Current-Thoughput(65): 6.1560227420114115
INFO 2022-03-31 20:09:07,671 - Current-Thoughput(66): 6.134323355420739
INFO 2022-03-31 20:09:07,717 - Current-Blocktime(9): 10.454618692398071
INFO 2022-03-31 20:09:07,731 - Current-Thoughput(67): 6.19285534446498
INFO 2022-03-31 20:09:08,082 - Current-Blocktime(10): 10.819968938827515
INFO 2022-03-31 20:09:17,751 - Current-Thoughput(68): 3.263047589022726
INFO 2022-03-31 20:09:17,762 - Current-Thoughput(69): 3.309410773386424
INFO 2022-03-31 20:09:17,765 - Current-Thoughput(70): 3.35685649413014
INFO 2022-03-31 20:09:17,778 - Current-Thoughput(71): 3.402696124777826
INFO 2022-03-31 20:09:17,783 - Current-Thoughput(72): 3.4498329288211664
INFO 2022-03-31 20:09:17,791 - Current-Thoughput(73): 3.4963148001382383
INFO 2022-03-31 20:09:17,797 - Current-Thoughput(74): 3.543349150620114
INFO 2022-03-31 20:09:17,810 - Current-Thoughput(75): 3.588969624742949
INFO 2022-03-31 20:09:17,817 - Current-Thoughput(76): 3.63557260309694
INFO 2022-03-31 20:09:17,824 - Current-Thoughput(77): 3.6822549366896284
INFO 2022-03-31 20:09:17,850 - Current-Blocktime(11): 1.8716085390611128
INFO 2022-03-31 20:09:18,005 - Current-Thoughput(78): 3.698037511812545
INFO 2022-03-31 20:09:18,133 - Current-Thoughput(79): 3.722939350079425
INFO 2022-03-31 20:09:18,422 - Current-Thoughput(80): 3.719411905520838
INFO 2022-03-31 20:09:18,423 - Current-Thoughput(81): 3.765638622321332
INFO 2022-03-31 20:09:18,425 - Current-Thoughput(82): 3.811855938097928
INFO 2022-03-31 20:09:18,427 - Current-Thoughput(83): 3.858076107005018
INFO 2022-03-31 20:09:18,429 - Current-Thoughput(84): 3.904041749307139
INFO 2022-03-31 20:09:18,431 - Current-Thoughput(85): 3.9502290155706565
INFO 2022-03-31 20:09:18,433 - Current-Thoughput(86): 3.9963785209215223
INFO 2022-03-31 20:09:18,436 - Current-Thoughput(87): 4.042322433818439
INFO 2022-03-31 20:09:19,115 - Current-Thoughput(88): 3.963653549907265
INFO 2022-03-31 20:09:19,118 - Current-Thoughput(89): 4.008183977026762
INFO 2022-03-31 20:09:19,121 - Current-Thoughput(90): 4.05273794590293
INFO 2022-03-31 20:09:19,123 - Current-Thoughput(91): 4.097422207931547
INFO 2022-03-31 20:09:19,124 - Current-Thoughput(92): 4.142188159199347
INFO 2022-03-31 20:09:19,929 - Current-Blocktime(14): 22.66688370704651
INFO 2022-03-31 20:09:30,667 - Current-Thoughput(93): 2.7553017819395214
INFO 2022-03-31 20:09:30,683 - Current-Thoughput(94): 2.783594444725598
INFO 2022-03-31 20:09:30,698 - Current-Thoughput(95): 2.8119972903804187
INFO 2022-03-31 20:09:30,711 - Current-Thoughput(96): 2.840494577516509
