INFO 2022-03-31 20:09:17,789 - Current-Thoughput(72): 3.4482296972398623
INFO 2022-03-31 20:09:17,794 - Current-Thoughput(73): 3.4952757573627355
INFO 2022-03-31 20:09:17,807 - Current-Thoughput(74): 3.541086396149842
INFO 2022-03-31 20:09:17,814 - Current-Thoughput(75): 3.587716439781576
INFO 2022-03-31 20:09:17,821 - Current-Thoughput(76): 3.6343518127613095
INFO 2022-03-31 20:09:17,843 - Current-Blocktime(11): 1.8727236661044033
INFO 2022-03-31 20:09:17,852 - Current-Thoughput(77): 3.67667713624074
INFO 2022-03-31 20:09:18,118 - Current-Thoughput(78): 3.677789036598314
INFO 2022-03-31 20:09:18,366 - Current-Thoughput(79): 3.6818436138472825
INFO 2022-03-31 20:09:18,368 - Current-Thoughput(80): 3.7282068012820804
INFO 2022-03-31 20:09:18,384 - Current-Thoughput(81): 3.7719611430693982
INFO 2022-03-31 20:09:18,391 - Current-Thoughput(82): 3.817289199454354
INFO 2022-03-31 20:09:18,400 - Current-Thoughput(83): 3.862210825024405
INFO 2022-03-31 20:09:18,413 - Current-Thoughput(84): 3.906562294167493
INFO 2022-03-31 20:09:18,416 - Current-Thoughput(85): 3.9525294476968553
INFO 2022-03-31 20:09:18,425 - Current-Thoughput(86): 3.9973640081703956
INFO 2022-03-31 20:09:18,451 - Current-Blocktime(12): 1.7672576904296875
INFO 2022-03-31 20:09:18,454 - Current-Thoughput(87): 4.038487098690612
INFO 2022-03-31 20:09:19,114 - Current-Thoughput(88): 3.9634687003678835
INFO 2022-03-31 20:09:19,119 - Current-Thoughput(89): 4.007578576196469
INFO 2022-03-31 20:09:19,122 - Current-Thoughput(90): 4.052111664736956
INFO 2022-03-31 20:09:19,133 - Current-Thoughput(91): 4.095058018880551
INFO 2022-03-31 20:09:19,146 - Current-Thoughput(92): 4.137701946423728
INFO 2022-03-31 20:09:19,157 - Current-Thoughput(93): 4.180623874857843
INFO 2022-03-31 20:09:19,513 - Current-Thoughput(94): 4.158995719151277
INFO 2022-03-31 20:09:19,829 - Current-Thoughput(95): 4.145393591902197
INFO 2022-03-31 20:09:19,830 - Current-Thoughput(96): 4.188753988231301
INFO 2022-03-31 20:09:19,832 - Current-Thoughput(97): 4.232100805029912
INFO 2022-03-31 20:09:19,833 - Current-Thoughput(98): 4.2754559494789435
INFO 2022-03-31 20:09:19,840 - Current-Thoughput(99): 4.31777294157151
INFO 2022-03-31 20:09:19,851 - Current-Thoughput(100): 4.359425796517668
INFO 2022-03-31 20:09:19,863 - Current-Thoughput(101): 4.400659507784605
INFO 2022-03-31 20:09:19,876 - Current-Thoughput(102): 4.4417592409950055
INFO 2022-03-31 20:09:19,887 - Current-Thoughput(103): 4.483171450516351
INFO 2022-03-31 20:09:19,908 - Current-Blocktime(14): 1.6188765934535436
INFO 2022-03-31 20:09:20,144 - Current-Thoughput(104): 4.4766254394998075
INFO 2022-03-31 20:09:20,567 - Current-Thoughput(105): 4.4388707719222085
INFO 2022-03-31 20:09:20,634 - Current-Thoughput(106): 4.468474997941378
INFO 2022-03-31 20:09:20,649 - Current-Thoughput(107): 4.507883453124059
